price,msrp,cpu,cpuNum,ram,storage,gpu,screnSize,Resolution,os,brand,name,weight,rating,ratingLen
2499,2499,Apple M1 Pro,Apple M1 Pro,16 gigabytes,512 gigabytes,Apple M1 Pro 16-core,16.2 inches,3456 x 2234,macOS Monterey 12,Apple,MK183LL/A,4.7 pounds,4.8,429
2699,2699,Apple M1 Pro,Apple M1 Pro,16 gigabytes,1000 gigabytes,Apple M1 Pro 16-core,16.2 inches,3456 x 2234,macOS Monterey 12,Apple,MK193LL/A,4.7 pounds,4.9,393
3499,3499,Apple M1 Max,Apple M1 Max,32 gigabytes,1000 gigabytes,Apple M1 Max 32-core,16.2 inches,3456 x 2234,macOS Monterey 12,Apple,MK1A3LL/A,4.8 pounds,4.8,115
2499,2499,Apple M1 Pro,Apple M1 Pro,16 gigabytes,512 gigabytes,Apple M1 Pro 16-core,16.2 inches,3456 x 2234,macOS Monterey 12,Apple,MK1E3LL/A,4.7 pounds,4.8,429
2699,2699,Apple M1 Pro,Apple M1 Pro,16 gigabytes,1000 gigabytes,Apple M1 Pro 16-core,16.2 inches,3456 x 2234,macOS Monterey 12,Apple,MK1F3LL/A,4.7 pounds,4.9,393
3499,3499,Apple M1 Max,Apple M1 Max,32 gigabytes,1000 gigabytes,Apple M1 Max 32-core,16.2 inches,3456 x 2234,macOS Monterey 12,Apple,MK1H3LL/A,4.8 pounds,4.8,115
899,899.99,Intel 8th Generation Core i5,Not provided,8 gigabytes,128 gigabytes,Intel Iris Plus Graphics,13 inches,2560 x 1600 (Retina),Mac OS,Apple,MUHQ2LL/A,3.02 pounds,3,2
249,249.99,Intel 2nd Generation Core i5,"Intel Mobile Core i5 ""Sandy Bridge"" (2 Cores)",4 gigabytes,320 gigabytes,Intel HD Graphics 3000,13.3 inches,1280 x 800 (WXGA),,Apple,A1278,,3.4,7
499,499.99,Intel Core m5,Intel Mobile M (M-5Y31) processor (2 Cores),8 gigabytes,256 gigabytes,Intel HD Graphics 5300,12 inches,2304 x 1440,Mac OS,Apple,A1534,,3.7,6
329,329.99,Intel 3rd Generation Core i5,3210M,4 gigabytes,500 gigabytes,Intel HD Graphics 4000,13.3 inches,1280 x 800 (WXGA),Mac OS,Apple,A1278,4 pounds,3.9,20
399,399.99,Intel 3rd Generation Core i5,Not provided,4 gigabytes,128 gigabytes,Intel HD Graphics 4000,13.3 inches,1400 x 900 (WXGA+),Mac OS,Apple,A1466,2.96 pounds,3.4,8
329,329.99,Intel 2nd Generation Core i5,"Intel Mobile Core i5 ""Sandy Bridge"" (2 Cores)",4 gigabytes,500 gigabytes,Intel HD Graphics 3000,13.3 inches,1280 x 800 (WXGA),,Apple,A1278,,2,4
429,429.99,Intel 4th Generation Core i5,Intel Core i5 Dual-Core,4 gigabytes,256 gigabytes,Intel HD Graphics 5000,13.3 inches,1400 x 900 (WXGA+),Mac OS,Apple,A1466,,,
549,549.99,Intel 4th Generation Core i7,Not provided,8 gigabytes,256 gigabytes,Intel Iris Pro Graphics 5200,15.4 inches,2880 x 1800,Mac OS,Apple,A1398,4.46 pounds,3.2,5
329,329.99,Intel 2nd Generation Core i7,Not provided,4 gigabytes,750 gigabytes,Intel HD Graphics 3000,13.3 inches,1280 x 800 (WXGA),,Apple,A1278,,2.8,4
1199,1199.99,Intel 10th Generation Core i5,Not provided,16 gigabytes,512 gigabytes,Intel Iris Plus Graphics,13 inches,2560 x 1600 (Retina),Mac OS,Apple,MWP42LL/A,3.1 pounds,5,1
1799,1799.99,Intel 9th Generation Core i7,Not provided,16 gigabytes,512 gigabytes,AMD Radeon Pro 5300M,16 inches,3072 x 1920 (Retina),macOS 10.15,Apple,MVVL2LL/A,4.6 pounds,5,1
399,399.99,Intel 4th Generation Core i5,"Intel Mobile Core i5 ""Haswell"" (2 Cores)",4 gigabytes,128 gigabytes,Intel Iris Graphics 5100,13.3 inches,2560 x 1600,Mac OS,Apple,A1502,,3,3
1259,1799.99,Intel 8th Generation Core i5,Intel Core i5,16 gigabytes,512 gigabytes,Intel Iris Plus Graphics 645,13.3 inches,2560 x 1600 (Retina),Mac OS,Apple,GSRF MUQV2LL/A,,,
1009,1299.99,Intel 10th Generation Core i5,Not provided,8 gigabytes,512 gigabytes,Intel Iris Plus Graphics 645,13.3 inches,2560 x 1600 (Retina),Mac OS,Apple,GSRF MVH22LL/A,2.8 pounds,,
999,1299.99,Intel 10th Generation Core i5,Not provided,8 gigabytes,512 gigabytes,Intel Iris Plus Graphics 645,13.3 inches,2560 x 1600 (Retina),Mac OS,Apple,GSRF MVH42LL/A,2.8 pounds,,
999,1499.99,Intel 10th Generation Core i5,Not provided,8 gigabytes,512 gigabytes,Intel Iris Plus Graphics 645,13.3 inches,2560 x 1600 (Retina),Mac OS,Apple,GSRF MVH52LL/A,2.8 pounds,,
1144,1699.99,Intel 8th Generation Core i5,Not provided,16 gigabytes,512 gigabytes,Intel Iris Plus Graphics 645,13.3 inches,2560 x 1600 (Retina),Mac OS,Apple,GSRF MVH62LL/A,2.75 pounds,,
1699,1699.99,Intel 8th Generation Core i5,Intel 8th Generation Core i5,16 gigabytes,512 gigabytes,Intel Iris Plus Graphics 645,13.3 inches,2560 x 1600 (Retina),Mac OS,Apple,GSRF MVH82LL/A,,,
834,1099.99,Apple M1,Apple M1,8 gigabytes,256 gigabytes,Intel Iris Plus Graphics 645,13.3 inches,2560 x 1600 (Retina),macOS Big Sur 11.0,Apple,GSRF MGN93LL/A,2.8 pounds,,
1044,1099.99,Apple M1,Apple M1,8 gigabytes,512 gigabytes,Intel Iris Plus Graphics 645,13.3 inches,2560 x 1600 (Retina),macOS Big Sur 11.0,Apple,GSRF MGNA3LL/A,2.8 pounds,,
834,1099.99,Apple M1,Apple M1,8 gigabytes,256 gigabytes,Intel Iris Plus Graphics 645,13.3 inches,2560 x 1600 (Retina),macOS Big Sur 11.0,Apple,GSRF MGND3LL/A,2.8 pounds,,
1044,1099.99,Apple M1,Apple M1,8 gigabytes,512 gigabytes,Intel Iris Plus Graphics 645,13.3 inches,2560 x 1600 (Retina),macOS Big Sur 11.0,Apple,GSRF MGNE3LL/A,2.8 pounds,,
1044,1799.99,Apple M1,Apple M1,8 gigabytes,512 gigabytes,Intel Iris Plus Graphics 645,13.3 inches,2560 x 1600 (Retina),macOS Big Sur 11.0,Apple,GSRF MGN73LL/A,2.8 pounds,,
794,1099.99,Intel 10th Generation Core i3,Intel 10th Generation Core i3,8 gigabytes,256 gigabytes,Intel Iris Plus Graphics 645,13.3 inches,2560 x 1600 (Retina),Mac OS,Apple,GSRF MWTJ2LL/A,2.8 pounds,,
794,1299.99,Intel 10th Generation Core i3,Intel 10th Generation Core i3,8 gigabytes,256 gigabytes,Intel Iris Plus Graphics 645,13.3 inches,2560 x 1600 (Retina),Mac OS,Apple,GSRF MWTK2LL/A,2.8 pounds,,
794,1499.99,Intel 10th Generation Core i3,Intel 10th Generation Core i3,8 gigabytes,256 gigabytes,Intel Iris Plus Graphics 645,13.3 inches,2560 x 1600 (Retina),Mac OS,Apple,GSRF MWTL2LL/A,2.8 pounds,,
834,999.99,Apple M1,Apple M1,8 gigabytes,256 gigabytes,Apple M1,13.3 inches,2560 x 1600 (Retina),macOS Big Sur 11.0,Apple,GSRF MGN63LL/A,2.8 pounds,,
